age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-balance,hours-per-week,native-country,income
"[17, 56[",Government,216853,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,25,United-States,<=50K
"[17, 56[",Government,173806,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,170099,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,184018,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,38,United-States,>50K
"[17, 56[",Private,196690,Associate,Never-married,Machinery,Not-in-family,White,Female,-1669,42,United-States,<=50K
"[17, 56[",Private,275421,Associate,Never-married,Machinery,Own-child,White,Female,0,40,United-States,<=50K
"[17, 56[",Private,265628,Associate,Never-married,Machinery,Own-child,White,Female,0,40,United-States,<=50K
"[17, 56[",Private,179117,Associate,Never-married,Machinery,Not-in-family,Black,Female,10520,50,United-States,>50K
"[17, 56[",Private,192283,Associate,Never-married,Machinery,Own-child,White,Female,0,38,United-States,<=50K
"[17, 56[",Private,137300,Associate,Never-married,Machinery,Unmarried,White,Female,0,40,United-States,<=50K
"[17, 56[",Private,204648,Associate,Never-married,Machinery,Unmarried,Black,Female,0,40,United-States,<=50K
"[17, 56[",Private,221324,Associate,Never-married,Machinery,Unmarried,Black,Female,0,40,United-States,<=50K
"[17, 56[",Private,251825,Associate,Never-married,Machinery,Unmarried,Black,Female,0,40,United-States,<=50K
"[17, 56[",Private,191648,Associate,Never-married,Machinery,Other-relative,White,Female,0,15,United-States,<=50K
"[17, 56[",Private,72887,Associate,Married-civ-spouse,Machinery,Husband,Asian-Pac-Islander,Male,0,40,United-States,>50K
"[17, 56[",Private,194636,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,256202,Associate,Married-civ-spouse,Machinery,Husband,Black,Male,0,40,United-States,<=50K
"[17, 56[",Private,429507,Associate,Married-civ-spouse,Machinery,Husband,Black,Male,0,40,United-States,<=50K
"[17, 56[",Private,194772,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Private,201531,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Private,204322,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Private,134737,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,44392,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,197023,Associate,Married-civ-spouse,Machinery,Husband,Amer-Indian-Eskimo,Male,0,40,United-States,<=50K
"[17, 56[",Private,57423,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,48,United-States,<=50K
"[17, 56[",Private,119422,Associate,Married-civ-spouse,Machinery,Husband,White,Male,-1672,50,United-States,<=50K
"[17, 56[",Private,488720,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,Mexico,<=50K
"[17, 56[",Private,125159,Associate,Married-civ-spouse,Machinery,Husband,Black,Male,0,40,Jamaica,<=50K
"[17, 56[",Private,211678,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,45,United-States,<=50K
"[17, 56[",Private,140011,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,53,United-States,<=50K
"[17, 56[",Private,34572,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,45,United-States,<=50K
"[17, 56[",Private,27802,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,157069,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Private,373469,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,278736,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,50,United-States,<=50K
"[17, 56[",Private,83064,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Private,157747,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
